@relation SemanalAcumulada_18

@attribute matricula numeric
@attribute semana numeric
@attribute dias numeric
@attribute diasfora numeric
@attribute foruns numeric
@attribute leituras numeric
@attribute participacoes numeric
@attribute assigns numeric
@attribute quizes numeric
@attribute total numeric

@data
91311084,8,19,29,11,5,6,3,2,27
91311084,9,19,31,11,5,6,3,2,27
91311084,10,21,35,12,5,6,3,3,29
91311084,11,23,37,13,5,6,3,3,30
91311084,12,24,40,13,5,6,3,3,30
91311084,13,26,43,15,5,7,3,3,33
91311084,14,28,47,15,6,7,4,3,35
91311084,15,29,51,15,6,7,4,3,35
91311084,16,32,54,15,7,7,4,4,37
91311084,17,38,60,15,7,7,4,4,37
91311084,18,44,66,17,7,8,4,4,40
91311436,1,0,0,0,0,0,0,0,0
91311436,2,4,5,1,1,0,1,0,3
91311436,3,10,12,2,2,0,1,1,6
91311436,4,14,19,4,3,3,2,1,13
91311436,5,20,26,5,4,3,2,2,16
91311436,6,25,33,6,5,4,2,2,19
91311436,7,31,40,8,6,4,3,2,23
91311436,8,36,47,11,7,4,3,2,27
91311436,9,43,54,12,8,4,3,2,29
91311436,10,49,60,12,9,4,3,3,31
91311436,11,55,66,13,10,5,3,3,34
91311436,12,60,72,14,10,5,3,3,35
91311436,13,66,78,18,11,5,3,3,40
91311436,14,71,85,18,12,5,4,3,42
91311436,15,77,92,18,13,5,4,4,44
91311436,16,81,99,18,13,5,4,4,44
91311436,17,86,106,19,13,5,4,4,45
91311436,18,93,113,19,13,5,4,4,45
91311144,1,0,2,0,0,0,0,0,0
91311144,2,4,7,2,1,1,1,0,5
91311144,3,6,13,3,1,1,2,0,7
91311144,4,8,18,4,2,1,2,1,10
91311144,5,10,20,4,2,1,2,2,11
91311144,6,12,25,6,3,2,2,2,15
91311144,7,13,29,6,4,2,2,2,16
91311144,8,14,34,7,5,2,2,2,18
91311144,9,16,36,8,6,2,2,2,20
91311144,10,18,40,9,6,2,2,3,22
91311144,11,21,45,10,6,2,2,4,24
91311144,12,22,49,11,6,3,2,4,26
91311144,13,22,50,11,6,3,2,4,26
91311144,14,23,52,13,7,3,2,4,29
91311144,15,27,58,13,8,3,3,5,32
91311144,16,27,61,13,8,3,3,5,32
91311144,17,30,68,13,8,3,3,6,33
91311144,18,31,73,13,8,3,3,6,33
91311423,1,2,4,3,1,0,0,0,4
91311423,2,7,10,4,2,0,1,0,7
91311423,3,9,14,4,3,0,1,0,8
91311423,4,13,20,8,4,2,1,1,16
91311423,5,17,25,10,5,3,1,2,21
91311423,6,19,28,11,6,3,1,2,23
91311423,7,24,34,12,7,4,1,2,26
91311423,8,26,37,12,7,4,2,2,27
91311423,9,28,41,12,7,4,2,2,27
91311423,10,31,45,13,8,4,2,2,29
91311423,11,32,48,13,9,4,2,3,31
91311423,12,37,53,14,10,5,2,3,34
91311423,13,41,58,15,11,5,2,3,36
91311423,14,46,64,15,12,5,3,3,38
91311423,15,47,68,15,13,5,3,3,39
91311423,16,49,70,15,13,5,3,3,39
91311423,17,54,75,15,13,5,3,3,39
91311423,18,59,81,15,13,5,3,3,39
91111098,1,1,4,0,0,0,0,0,0
91111098,2,3,8,0,0,0,1,0,1
91111098,3,5,13,0,1,0,1,1,3
91111098,4,7,18,1,1,1,1,1,5
91111098,5,11,22,3,1,1,2,2,9
91111098,6,13,26,4,1,1,2,2,10
91111098,7,15,32,7,1,1,2,2,13
91111098,8,19,38,9,2,2,3,2,18
91111098,9,21,43,10,2,5,3,2,22
91111098,10,22,44,10,2,5,3,2,22
91111098,11,24,46,10,3,5,3,3,24
91111098,12,25,49,11,3,5,3,3,25
91111098,13,26,53,11,3,5,3,3,25
91111098,14,29,58,12,3,5,3,3,26
91111098,15,32,61,12,4,5,4,4,29
91111098,16,33,62,12,4,5,4,5,30
91111098,17,37,67,14,4,5,4,6,33
91111098,18,41,71,14,4,5,4,6,33
91311163,1,4,4,2,1,1,0,0,4
91311163,2,7,8,4,2,1,1,0,8
91311163,3,10,13,4,2,1,1,1,9
91311163,4,13,18,5,3,1,1,2,12
91311163,5,16,23,6,4,4,1,3,18
91311163,6,19,26,7,5,4,1,4,21
91311163,7,21,30,8,6,5,1,4,24
91311163,8,26,36,9,7,5,2,4,27
91311163,9,29,40,9,7,5,2,4,27
91311163,10,32,45,9,8,5,2,5,29
91311163,11,35,49,10,9,5,2,6,32
91311163,12,37,53,11,9,6,2,6,34
91311163,13,39,57,11,10,6,2,6,35
91311163,14,43,63,11,11,6,3,6,37
91311163,15,45,68,11,12,6,3,7,39
91311163,16,47,72,11,12,6,3,8,40
91311163,17,52,79,11,12,6,3,8,40
91311163,18,59,86,11,12,6,3,8,40
91311468,1,0,0,0,0,0,0,0,0
91311468,2,3,3,0,1,0,0,0,1
91311468,3,9,10,2,2,2,1,1,8
91311468,4,14,15,3,3,5,2,1,14
91311468,5,19,22,4,4,5,2,2,17
91311468,6,24,27,5,5,6,2,2,20
91311468,7,29,32,7,6,6,3,2,24
91311468,8,35,38,9,6,6,3,2,26
91311468,9,42,45,13,7,7,3,2,32
91311468,10,48,51,16,8,7,3,3,37
91311468,11,54,57,18,9,8,3,3,41
91311468,12,61,64,20,9,8,3,3,43
91311468,13,66,70,24,10,9,4,3,50
91311468,14,72,77,26,10,13,4,3,56
91311468,15,78,83,29,11,13,4,4,61
91311468,16,82,87,31,11,13,4,4,63
91311468,17,88,93,33,11,13,4,4,65
91311468,18,94,100,34,11,13,4,4,66
91311277,1,0,0,0,0,0,0,0,0
91311277,2,3,5,1,1,1,1,0,4
91311277,3,6,9,1,2,1,1,0,5
91311277,4,10,15,2,3,4,1,1,11
91311277,5,15,22,3,4,4,1,1,13
91311277,6,19,26,4,5,5,1,2,17
91311277,7,22,31,5,6,5,1,2,19
91311277,8,26,36,5,7,5,2,2,21
91311277,9,28,39,5,7,5,2,2,21
91311277,10,32,43,6,8,5,2,3,24
91311277,11,35,48,6,9,5,2,4,26
91311277,12,38,54,7,10,6,2,4,29
91311277,13,41,59,7,11,6,2,4,30
91311277,14,42,64,7,12,6,2,4,31
91311277,15,45,70,7,13,6,3,5,34
91311277,16,45,72,7,13,6,3,5,34
91311277,17,50,77,7,13,6,3,5,34
91311277,18,53,82,7,13,6,3,5,34
91311294,1,2,3,1,1,1,0,0,3
91311294,2,5,8,2,1,1,0,0,4
91311294,3,11,14,5,2,1,1,1,10
91311294,4,16,20,7,2,2,1,2,14
91311294,5,22,26,8,3,4,2,3,20
91311294,6,28,33,10,3,4,2,4,23
91311294,7,33,38,11,4,5,2,4,26
91311294,8,37,43,12,5,5,3,4,29
91311294,9,42,48,12,5,5,3,4,29
91311294,10,46,53,12,5,5,3,5,30
91311294,11,51,58,14,6,5,3,6,34
91311294,12,54,61,15,6,6,3,6,36
91311294,13,57,66,17,7,6,3,6,39
91311294,14,60,70,18,8,6,4,6,42
91311294,15,64,75,18,9,6,4,7,44
91311294,16,67,79,20,9,6,4,7,46
91311294,17,73,86,20,9,6,4,7,46
91311294,18,79,93,20,9,6,4,7,46
91311180,1,5,5,2,1,1,0,0,4
91311180,2,10,10,5,2,1,1,0,9
91311180,3,16,16,7,3,1,1,1,13
91311180,4,21,23,9,4,4,1,1,19
91311180,5,27,29,11,5,4,2,2,24
91311180,6,31,34,13,6,4,2,3,28
91311180,7,36,41,15,7,5,2,3,32
91311180,8,38,45,17,8,5,3,3,36
91311180,9,42,50,19,8,5,3,3,38
91311180,10,45,54,19,8,5,3,3,38
91311180,11,52,61,20,9,5,3,4,41
91311180,12,55,65,21,9,6,3,4,43
91311180,13,59,71,22,9,6,3,4,44
91311180,14,64,78,23,10,6,4,4,47
91311180,15,70,85,23,11,6,4,5,49
91311180,16,73,90,23,11,6,4,5,49
91311180,17,79,97,24,11,6,4,5,50
91311180,18,86,104,24,11,6,4,5,50
91311204,1,0,0,0,0,0,0,0,0
91311204,2,3,5,2,1,0,0,0,3
91311204,3,7,10,6,2,1,1,1,11
91311204,4,11,15,8,2,1,1,2,14
91311204,5,16,20,9,2,4,2,3,20
91311204,6,19,24,11,2,4,2,4,23
91311204,7,23,30,12,3,5,2,4,26
91311204,8,26,36,14,4,5,3,4,30
91311204,9,28,40,15,4,5,3,4,31
91311204,10,32,45,16,5,5,3,5,34
91311204,11,35,49,17,6,5,3,6,37
91311204,12,39,54,18,7,6,3,6,40
91311204,13,42,57,20,7,6,3,6,42
91311204,14,44,61,20,8,6,3,6,43
91311204,15,47,68,21,9,6,4,7,47
91311204,16,49,71,21,9,6,4,8,48
91311204,17,51,75,21,9,6,4,8,48
91311204,18,54,80,21,9,6,4,8,48
91311183,1,0,4,0,0,0,0,0,0
91311183,2,2,8,2,0,1,1,0,4
91311183,3,5,13,2,1,1,1,0,5
91311183,4,8,18,2,1,1,2,1,7
91311183,5,12,22,3,1,4,2,2,12
91311183,6,14,26,4,1,4,2,3,14
91311183,7,17,30,8,1,4,2,3,18
91311183,8,22,36,11,2,6,3,3,25
91311183,9,24,41,12,2,6,3,3,26
91311183,10,27,46,13,2,7,3,3,28
91311183,11,30,51,13,3,7,3,4,30
91311183,12,33,54,14,3,8,3,4,32
91311183,13,33,56,14,3,8,3,4,32
91311183,14,33,60,14,3,8,3,4,32
91311183,15,36,66,15,4,8,4,4,35
91311183,16,37,70,15,4,8,4,5,36
91311183,17,38,76,15,4,8,4,5,36
91311183,18,40,83,15,4,8,4,5,36
91311298,1,2,3,0,1,0,0,0,1
91311298,2,5,9,0,2,0,1,0,3
91311298,3,11,16,3,3,1,1,1,9
91311298,4,15,22,4,3,1,1,1,10
91311298,5,19,28,5,4,4,2,2,17
91311298,6,22,32,6,4,4,2,3,19
91311298,7,24,36,7,5,5,2,3,22
91311298,8,31,43,8,6,5,3,3,25
91311298,9,32,49,8,6,5,3,3,25
91311298,10,36,54,9,7,5,3,4,28
91311298,11,39,58,10,8,5,3,5,31
91311298,12,41,62,11,8,6,3,5,33
91311298,13,42,66,12,9,6,3,5,35
91311298,14,45,70,12,10,6,3,5,36
91311298,15,50,76,15,11,6,4,6,42
91311298,16,51,80,15,11,6,4,7,43
91311298,17,54,86,16,11,6,4,8,45
91311298,18,58,93,16,11,6,4,8,45
91311394,1,0,0,0,0,0,0,0,0
91311394,2,3,3,1,0,0,1,0,2
91311394,3,10,10,3,1,0,1,1,6
91311394,4,17,17,4,2,3,1,1,11
91311394,5,23,24,4,3,3,1,2,13
91311394,6,28,31,5,4,4,1,2,16
91311394,7,35,38,6,5,4,1,2,18
91311394,8,42,45,7,5,4,2,2,20
91311394,9,49,52,8,5,4,2,2,21
91311394,10,56,59,8,6,4,2,3,23
91311394,11,61,66,9,7,5,2,3,26
91311394,12,65,73,9,7,5,2,3,26
91311394,13,71,80,11,8,5,3,3,30
91311394,14,78,87,12,8,6,3,3,32
91311394,15,83,94,12,9,6,3,4,34
91311394,16,88,100,13,9,6,3,4,35
91311394,17,95,107,13,9,6,3,4,35
91311394,18,102,114,13,9,6,3,4,35
91311405,1,0,0,0,0,0,0,0,0
91311405,2,3,6,2,1,0,1,0,4
91311405,3,6,12,3,2,0,1,1,7
91311405,4,13,19,4,3,2,1,1,11
91311405,5,17,24,5,4,3,1,2,15
91311405,6,21,31,7,5,3,1,2,18
91311405,7,26,37,8,6,4,1,2,21
91311405,8,30,43,8,7,4,2,2,23
91311405,9,31,46,8,7,4,2,2,23
91311405,10,35,52,10,8,4,2,3,27
91311405,11,37,57,11,9,5,2,3,30
91311405,12,41,62,11,10,5,2,3,31
91311405,13,45,67,11,11,5,2,3,32
91311405,14,51,73,12,12,5,3,3,35
91311405,15,56,79,12,13,5,3,4,37
91311405,16,59,85,12,13,5,3,4,37
91311405,17,60,91,12,13,5,3,4,37
91311405,18,64,95,13,13,5,3,4,38
91311082,1,0,0,0,0,0,0,0,0
91311082,2,2,2,2,0,2,1,0,5
91311082,3,3,7,3,1,2,1,1,8
91311082,4,4,8,4,1,2,1,1,9
91311082,5,4,9,4,1,2,1,1,9
91311082,6,5,11,4,2,2,1,2,11
91311082,7,6,12,5,3,3,1,2,14
91311082,8,7,13,5,4,3,1,2,15
91311082,9,7,15,5,4,3,1,2,15
91311082,10,8,16,6,5,3,1,2,17
91311082,11,9,19,7,5,4,1,2,19
91311082,12,9,20,7,5,4,1,2,19
91311082,13,9,21,7,5,4,1,2,19
91311082,14,11,23,7,6,4,1,2,20
91311082,15,13,26,7,7,4,2,2,22
91311082,16,14,27,7,7,4,2,2,22
91311082,17,17,30,7,8,4,2,2,23
91311082,18,20,34,7,8,4,2,2,23
91311435,1,0,0,0,0,0,0,0,0
91311435,2,2,3,1,0,1,0,0,2
91311435,3,6,7,2,0,1,1,0,4
91311435,4,7,10,3,1,1,1,1,7
91311435,5,7,12,3,1,1,1,1,7
91311435,6,9,16,5,2,1,1,2,11
91311435,7,12,20,6,3,2,1,2,14
91311435,8,15,25,6,4,2,2,2,16
91311435,9,16,27,6,4,2,2,2,16
91311435,10,17,28,6,5,2,2,2,17
91311435,11,19,32,6,6,2,2,3,19
91311435,12,20,33,6,7,2,2,3,20
91311435,13,21,35,7,8,3,2,3,23
91311435,14,23,38,7,9,3,2,3,24
91311435,15,25,43,7,10,3,3,4,27
91311435,16,27,46,7,10,3,3,5,28
91311435,17,28,48,7,10,3,3,5,28
91311435,18,31,51,7,10,3,3,5,28
91311558,1,0,0,0,0,0,0,0,0
91311558,2,0,0,0,0,0,0,0,0
