@relation SemanalAcumulada_8-UltimasSemanas_8x2

@attribute matricula numeric
@attribute semana numeric
@attribute dias numeric
@attribute diasfora numeric
@attribute foruns numeric
@attribute leituras numeric
@attribute participacoes numeric
@attribute assigns numeric
@attribute quizes numeric
@attribute total numeric
@attribute evasao {False,True}

@data
91311436,10,45,55,11,8,4,2,3,28,False
91311436,11,45,54,11,8,5,2,2,28,False
91311436,12,46,53,10,7,2,1,2,22,False
91311436,13,46,52,13,7,2,1,1,24,False
91311436,14,46,52,12,7,1,2,1,23,False
91311436,15,46,52,10,7,1,1,2,21,False
91311436,16,45,52,7,6,1,1,2,17,False
91311436,17,43,52,7,5,1,1,2,16,False
91311436,18,44,53,7,4,1,1,1,14,False
91311144,1,0,2,0,0,0,0,0,0,False
91311144,2,4,7,2,1,1,1,0,5,False
91311144,3,6,13,3,1,1,2,0,7,False
91311144,4,8,18,4,2,1,2,1,10,False
91311144,5,10,20,4,2,1,2,2,11,False
91311144,6,12,25,6,3,2,2,2,15,False
91311144,7,13,29,6,4,2,2,2,16,False
91311144,8,14,34,7,5,2,2,2,18,False
91311144,9,16,34,8,6,2,2,2,20,False
91311144,10,14,33,7,5,1,1,3,17,False
91311144,11,15,32,7,5,1,0,4,17,False
91311144,12,14,31,7,4,2,0,3,16,False
91311144,13,12,30,7,4,2,0,2,15,False
91311144,14,11,27,7,4,1,0,2,14,False
91311144,15,14,29,7,4,1,1,3,16,False
91311144,16,13,27,6,3,1,1,3,14,False
91311144,17,14,32,5,2,1,1,4,13,False
91311144,18,13,33,4,2,1,1,3,11,False
91311423,1,2,4,3,1,0,0,0,4,False
91311423,2,7,10,4,2,0,1,0,7,False
91311423,3,9,14,4,3,0,1,0,8,False
91311423,4,13,20,8,4,2,1,1,16,False
91311423,5,17,25,10,5,3,1,2,21,False
91311423,6,19,28,11,6,3,1,2,23,False
91311423,7,24,34,12,7,4,1,2,26,False
91311423,8,26,37,12,7,4,2,2,27,False
91311423,9,26,37,9,6,4,2,2,23,False
91311423,10,24,35,9,6,4,1,2,22,False
91311423,11,23,34,9,6,4,1,3,23,False
91311423,12,24,33,6,6,3,1,2,18,False
91311423,13,24,33,5,6,2,1,1,15,False
91311423,14,27,36,4,6,2,2,1,15,False
91311423,15,23,34,3,6,1,2,1,13,False
91311423,16,23,33,3,6,1,1,1,12,False
91311423,17,26,34,3,6,1,1,1,12,False
91311423,18,28,36,2,5,1,1,1,10,False
91111098,1,1,4,0,0,0,0,0,0,False
91111098,2,3,8,0,0,0,1,0,1,False
91111098,3,5,13,0,1,0,1,1,3,False
91111098,4,7,18,1,1,1,1,1,5,False
91111098,5,11,22,3,1,1,2,2,9,False
91111098,6,13,26,4,1,1,2,2,10,False
91111098,7,15,32,7,1,1,2,2,13,False
91111098,8,19,38,9,2,2,3,2,18,False
91111098,9,20,39,10,2,5,3,2,22,False
91111098,10,19,36,10,2,5,2,2,21,False
91111098,11,19,33,10,2,5,2,2,21,False
91111098,12,18,31,10,2,4,2,2,20,False
91111098,13,15,31,8,2,4,1,1,16,False
91111098,14,16,32,8,2,4,1,1,16,False
91111098,15,17,29,5,3,4,2,2,16,False
91111098,16,14,24,3,2,3,1,3,12,False
91111098,17,16,24,4,2,0,1,4,11,False
91111098,18,19,27,4,2,0,1,4,11,False
91311163,1,4,4,2,1,1,0,0,4,False
91311163,2,7,8,4,2,1,1,0,8,False
91311163,3,10,13,4,2,1,1,1,9,False
91311163,4,13,18,5,3,1,1,2,12,False
91311163,5,16,23,6,4,4,1,3,18,False
91311163,6,19,26,7,5,4,1,4,21,False
91311163,7,21,30,8,6,5,1,4,24,False
91311163,8,26,36,9,7,5,2,4,27,False
91311163,9,25,36,7,6,4,2,4,23,False
91311163,10,25,37,5,6,4,1,5,21,False
91311163,11,25,36,6,7,4,1,5,23,False
91311163,12,24,35,6,6,5,1,4,22,False
91311163,13,23,34,5,6,2,1,3,17,False
91311163,14,24,37,4,6,2,2,2,16,False
91311163,15,24,38,3,6,1,2,3,15,False
91311163,16,21,36,2,5,1,1,4,13,False
91311163,17,23,39,2,5,1,1,4,13,False
91311163,18,27,41,2,4,1,1,3,11,False
91311468,1,0,0,0,0,0,0,0,0,False
91311468,2,3,3,0,1,0,0,0,1,False
91311468,3,9,10,2,2,2,1,1,8,False
91311468,4,14,15,3,3,5,2,1,14,False
91311468,5,19,22,4,4,5,2,2,17,False
91311468,6,24,27,5,5,6,2,2,20,False
91311468,7,29,32,7,6,6,3,2,24,False
91311468,8,35,38,9,6,6,3,2,26,False
91311468,9,42,45,13,7,7,3,2,32,False
91311468,10,45,48,16,7,7,3,3,36,False
91311468,11,45,47,16,7,6,2,2,33,False
91311468,12,47,49,17,6,3,1,2,29,False
91311468,13,47,48,20,6,4,2,1,33,False
91311468,14,48,50,21,5,7,2,1,36,False
91311468,15,49,51,22,5,7,1,2,37,False
91311468,16,47,49,22,5,7,1,2,37,False
91311468,17,46,48,20,4,6,1,2,33,False
91311468,18,46,49,18,3,6,1,1,29,False
91311277,1,0,0,0,0,0,0,0,0,False
91311277,2,3,5,1,1,1,1,0,4,False
91311277,3,6,9,1,2,1,1,0,5,False
91311277,4,10,15,2,3,4,1,1,11,False
91311277,5,15,22,3,4,4,1,1,13,False
91311277,6,19,26,4,5,5,1,2,17,False
91311277,7,22,31,5,6,5,1,2,19,False
91311277,8,26,36,5,7,5,2,2,21,False
91311277,9,28,39,5,7,5,2,2,21,False
91311277,10,29,38,5,7,4,1,3,20,False
91311277,11,29,39,5,7,4,1,4,21,False
91311277,12,28,39,5,7,2,1,3,18,False
91311277,13,26,37,4,7,2,1,3,17,False
91311277,14,23,38,3,7,1,1,2,14,False
91311277,15,23,39,2,7,1,2,3,15,False
91311277,16,19,36,2,6,1,1,3,13,False
91311277,17,22,38,2,6,1,1,3,13,False
91311277,18,21,39,1,5,1,1,2,10,False
91311294,1,2,3,1,1,1,0,0,3,False
91311294,2,5,8,2,1,1,0,0,4,False
91311294,3,11,14,5,2,1,1,1,10,False
91311294,4,16,20,7,2,2,1,2,14,False
91311294,5,22,26,8,3,4,2,3,20,False
91311294,6,28,33,10,3,4,2,4,23,False
91311294,7,33,38,11,4,5,2,4,26,False
91311294,8,37,43,12,5,5,3,4,29,False
91311294,9,40,45,11,4,4,3,4,26,False
91311294,10,41,45,10,4,4,3,5,26,False
91311294,11,40,44,9,4,4,2,5,24,False
91311294,12,38,41,8,4,4,2,4,22,False
91311294,13,35,40,9,4,2,1,3,19,False
91311294,14,32,37,8,5,2,2,2,19,False
91311294,15,31,37,7,5,1,2,3,18,False
91311294,16,30,36,8,4,1,1,3,17,False
91311294,17,31,38,8,4,1,1,3,17,False
91311294,18,33,40,8,4,1,1,2,16,False
91311180,1,5,5,2,1,1,0,0,4,False
91311180,2,10,10,5,2,1,1,0,9,False
