@relation SemanalAcumulada_6-UltimasSemanas_6x1_reprovados

@attribute matricula numeric
@attribute semana numeric
@attribute dias numeric
@attribute diasfora numeric
@attribute foruns numeric
@attribute leituras numeric
@attribute participacoes numeric
@attribute assigns numeric
@attribute quizes numeric
@attribute total numeric
@attribute evasao {False,True}

@data
91311436,12,35,39,8,5,1,1,1,16,False
91311436,13,35,38,10,5,1,0,1,17,False
91311436,14,35,38,7,5,1,1,1,15,False
91311436,15,34,38,6,5,1,1,2,15,False
91311436,16,32,39,6,4,1,1,1,13,False
91311436,17,31,40,6,3,0,1,1,11,False
91311436,18,33,41,5,3,0,1,1,10,False
91311144,1,0,2,0,0,0,0,0,0,False
91311144,2,4,7,2,1,1,1,0,5,False
91311144,3,6,13,3,1,1,2,0,7,False
91311144,4,8,18,4,2,1,2,1,10,False
91311144,5,10,20,4,2,1,2,2,11,False
91311144,6,12,25,6,3,2,2,2,15,False
91311144,7,13,27,6,4,2,2,2,16,False
91311144,8,10,27,5,4,1,1,2,13,False
91311144,9,10,23,5,5,1,0,2,13,False
91311144,10,10,22,5,4,1,0,2,12,False
91311144,11,11,25,6,4,1,0,2,13,False
91311144,12,10,24,5,3,1,0,2,11,False
91311144,13,9,21,5,2,1,0,2,10,False
91311144,14,9,18,6,2,1,0,2,11,False
91311144,15,11,22,5,2,1,1,3,12,False
91311144,16,9,21,4,2,1,1,2,10,False
91311144,17,9,23,3,2,1,1,2,9,False
91311144,18,9,24,2,2,0,1,2,7,False
91311423,1,2,4,3,1,0,0,0,4,False
91311423,2,7,10,4,2,0,1,0,7,False
91311423,3,9,14,4,3,0,1,0,8,False
91311423,4,13,20,8,4,2,1,1,16,False
91311423,5,17,25,10,5,3,1,2,21,False
91311423,6,19,28,11,6,3,1,2,23,False
91311423,7,22,30,9,6,4,1,2,22,False
91311423,8,19,27,8,5,4,1,2,20,False
91311423,9,19,27,8,4,4,1,2,19,False
91311423,10,18,25,5,4,2,1,1,13,False
91311423,11,15,23,3,4,1,1,1,10,False
91311423,12,18,25,3,4,2,1,1,11,False
91311423,13,17,24,3,4,1,1,1,10,False
91311423,14,20,27,3,5,1,1,1,11,False
91311423,15,19,27,3,6,1,1,1,12,False
91311423,16,18,25,2,5,1,1,1,10,False
91311423,17,22,27,2,4,1,1,0,8,False
91311423,18,22,28,1,3,0,1,0,5,False
91111098,1,1,4,0,0,0,0,0,0,False
91111098,2,3,8,0,0,0,1,0,1,False
91111098,3,5,13,0,1,0,1,1,3,False
91111098,4,7,18,1,1,1,1,1,5,False
91111098,5,11,22,3,1,1,2,2,9,False
91111098,6,13,26,4,1,1,2,2,10,False
91111098,7,14,28,7,1,1,2,2,13,False
91111098,8,16,30,9,2,2,2,2,17,False
91111098,9,16,30,10,1,5,2,1,19,False
91111098,10,15,26,9,1,4,2,1,17,False
91111098,11,13,24,7,2,4,1,1,15,False
91111098,12,12,23,7,2,4,1,1,15,False
91111098,13,11,21,4,2,4,1,1,12,False
